,dire_losses,dire_win,duration,gold_advantage,kills,matches,radiant_losses,radiant_wins,team,unique_heroes_banned_against,unique_heroes_played,xp_advantage,team_id,wins,losses,name,patch_wins,patch_win_rate,win_rate
0,11.0,9.0,1979.5,3708.7073170731705,2.0,82.0,21.0,41.0,6953913.0,64.0,83.0,5052.487804878048,6953913,153,121,FlyToMoon,50.0,0.6097560975609756,0.5583941605839416
1,12.0,14.0,2202.887640449438,1470.685393258427,3.202247191011236,89.0,26.0,37.0,6685591.0,66.0,88.0,5037.449438202248,6685591,204,127,ViKin.gg,51.0,0.5730337078651685,0.6163141993957704
2,17.0,25.0,2264.843373493976,2333.7951807228915,6.216867469879518,83.0,18.0,23.0,2163.0,74.0,92.0,8657.590361445784,2163,938,609,Team Liquid,48.0,0.5783132530120482,0.6063348416289592
3,21.0,18.0,1970.2205882352941,-1795.1617647058824,-3.9411764705882355,68.0,14.0,15.0,2586976.0,74.0,88.0,-3224.5,2586976,604,352,OG,33.0,0.4852941176470588,0.6317991631799164
4,15.0,4.0,2199.5142857142855,-8939.42857142857,-8.514285714285714,35.0,12.0,4.0,7684041.0,55.0,72.0,-11058.485714285714,7684041,30,76,B8,8.0,0.22857142857142856,0.2830188679245283
5,18.0,23.0,2088.2419354838707,2227.5967741935483,-0.3548387096774194,62.0,7.0,14.0,7554697.0,71.0,87.0,-3298.2419354838707,7554697,109,80,Nigma,37.0,0.5967741935483871,0.5767195767195767
6,7.0,40.0,2044.5641025641025,13078.910256410256,12.333333333333334,78.0,4.0,27.0,1838315.0,71.0,95.0,16073.78205128205,1838315,842,388,Team Secret,67.0,0.8589743589743589,0.6845528455284553
7,30.0,36.0,2164.22,856.2,-2.05,100.0,20.0,14.0,7820540.0,69.0,90.0,-1308.68,7820540,73,82,Team Unique,50.0,0.5,0.47096774193548385
8,17.0,17.0,2170.10447761194,-1841.955223880597,-2.1641791044776117,67.0,16.0,17.0,111474.0,65.0,89.0,-2535.3880597014927,111474,1040,783,Alliance,34.0,0.5074626865671642,0.5704882062534284
9,6.0,11.0,2107.7169811320755,5035.66037735849,4.132075471698113,53.0,15.0,21.0,7819701.0,57.0,66.0,8510.433962264151,7819701,64,29,VP.Prodigy,32.0,0.6037735849056604,0.6881720430107527
